ts;code;level;detail
2026-09-12 18:10:16;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:10:24;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:10:24;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:10:24;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:10:41;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:10:49;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:10:57;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:10:57;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:10:58;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:11:13;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:11:21;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:11:29;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:11:29;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:11:31;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:11:45;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:11:53;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:12:01;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:12:01;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:12:04;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:12:17;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:12:25;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:12:33;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:12:33;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:12:38;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:12:56;ERR_TELEGRAM_SENDEN;ERROR;Netzwerkfehler beim Senden der Telegram-Nachricht (Versuch 3/3): Cannot connect to host api.telegram.org:443 ssl:default [Timeout while contacting DNS
2026-09-12 18:13:12;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:13:13;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:13:21;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:13:29;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:13:29;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:13:29;CYCLE_END_WE;Einspeisung;
2026-09-12 18:13:45;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:13:45;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:13:53;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:14:01;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:14:01;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:14:19;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:14:25;ERR_TELEGRAM_SENDEN;ERROR;Netzwerkfehler beim Senden der Telegram-Nachricht (Versuch 3/3): Cannot connect to host api.telegram.org:443 ssl:default [Timeout while contacting DNS
2026-09-12 18:14:41;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:14:49;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:14:52;ERR_NETZWERK_ALLE_VERSUCHE;WARNING;Alle Versuche fehlgeschlagen (Netzwerkfehler).
2026-09-12 18:14:57;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 3/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:14:57;ERR_FALLBACK_DATEN;ERROR;Maximale Wiederholungen erreicht, verwende Fallback-Daten.
2026-09-12 18:15:14;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 1/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
2026-09-12 18:15:21;ERR_SOLAX_API;ERROR;Fehler bei der API-Anfrage (Versuch 2/3): Cannot connect to host global.solaxcloud.com:443 ssl:default [Timeout while contacting DNS servers]
